Municipality/City,2013,2014,2015,2021,
QuezonCity,141,26891,27529,21978,
Manila,56,9984,11101,4666,
MakatiCity,23,8860,10173,4099,
PasigCity,13,7735,7597,3723,
Parañaque,25,4957,4939,3432,
Taguig,25,4855,4901,3497,
KalookanCity,37,2788,4106,2282,
Muntinlupa,13,3465,3794,1977,
LasPiñas,9,3362,3416,2699,
Mandaluyong,8,4091,4222,2475,
Marikina,17,2131,3607,2759,
PasayCity,15,4096,4958,2185,
Valenzuela,18,2788,1812,1138,
SanJuan,1,1687,1604,582,
Malabon,5,964,1095,581,
Navotas,6,821,730,209,
Pateros,0,60,31,165,
